PR,URL,Title,Content type,Is rendered page,HTTP status code,Meta description,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://siliconbased.dev/,Silicon Based,text/html; charset=utf-8,false,200,"Silicon Based — tools, guides, studies, and resources.",5782,<truncated>,38520,1937275062905520389,0,true
20,https://siliconbased.dev/meta-tag-generator,Meta Tag Generator — SEO & Open Graph Tags,text/html; charset=utf-8,false,200,"Free Meta Tag Generator for SEO, Open Graph, and Twitter Cards. Preview how your page appears in Google search results and social media shares.",432,<truncated>,2707,251946346206939579,0,true
20,https://siliconbased.dev/css-minifier,CSS Minifier & Beautifier — Compress CSS Online | Free Tool,text/html; charset=utf-8,false,200,"Minify your CSS code or beautify compressed CSS instantly. Removes whitespace and comments to reduce file size, or formats minified CSS.",352,<truncated>,2310,830395553201232193,0,true
20,https://siliconbased.dev/og-image-preview,Social Card Preview — Test Open Graph & Social Media Cards,text/html; charset=utf-8,false,200,"Preview how your URL appears when shared on Twitter, Facebook, LinkedIn, and Slack. Test Open Graph and Twitter Card images before publishing.",352,<truncated>,2274,4010876274530000575,0,true
20,https://siliconbased.dev/gitignore-generator,Gitignore Generator | Create .gitignore Files Instantly,text/html; charset=utf-8,false,200,"Generate .gitignore files for any language or framework. Combine multiple templates, preview the output, and download.",318,<truncated>,2012,14883678898475674762,0,true
20,https://siliconbased.dev/guide-sql-basics,SQL Quick Reference Guide | Commands & Examples,text/html; charset=utf-8,false,200,"A comprehensive developer cheat sheet for SQL. Covers SELECT, JOINs, GROUP BY, subqueries, and window functions with PostgreSQL and MySQL examples.",940,<truncated>,5870,1879322636712280262,0,true
20,https://siliconbased.dev/list-css-frameworks,"CSS Frameworks Compared | Tailwind, Bootstrap, Bulma,",text/html; charset=utf-8,false,200,"A curated comparison of modern CSS frameworks including Tailwind CSS, Bootstrap, Bulma, and Foundation.",501,<truncated>,3627,18289872833400740402,0,true
20,https://siliconbased.dev/flexbox-playground,Flexbox Playground & Generator | Free Online Tool,text/html; charset=utf-8,false,200,"Interactive CSS Flexbox builder. Visually edit flex container and flex item properties, preview live layouts, and generate CSS code instantly.",489,<truncated>,3214,16590428007781583447,0,true
20,https://siliconbased.dev/og-preview,Open Graph Preview — Test Social Media Cards,text/html; charset=utf-8,false,200,"Preview how your URL looks when shared on social media. Test Open Graph meta tags for Facebook, Twitter, LinkedIn, and Slack before you post.",344,<truncated>,2216,1546192130351126167,0,true
20,https://siliconbased.dev/sql-formatter,SQL Formatter & Beautifier — Format and Beautify SQL Queries,text/html; charset=utf-8,false,200,"Format and beautify SQL queries with proper indentation. Supports MySQL, PostgreSQL, SQLite, and SQL Server syntax. Syntax highlighting included.",280,<truncated>,1836,3663078086010972908,0,true
20,https://siliconbased.dev/cron-generator,Cron Expression Generator — Visual Builder & Explainer,text/html; charset=utf-8,false,200,"Interactive cron expression generator. Build cron schedules visually, get plain-English explanations, and see the next 5 run times instantly.",471,<truncated>,2368,3864011242584603349,0,true
20,https://siliconbased.dev/api-response-times,API Response Time Benchmark 2026 | siliconbased.dev,text/html; charset=utf-8,false,200,"Benchmark of average API response times across popular public APIs including GitHub, Stripe, OpenAI, and AWS. Tested from multiple regions.",429,<truncated>,2813,2537595523208230822,0,true
20,https://siliconbased.dev/crontab-guru,Crontab Guru — Cron Schedule Expression Editor,text/html; charset=utf-8,false,200,"Quick and simple editor for cron schedule expressions. Test your cron schedules, validate cron expressions, get plain English explanations.",346,<truncated>,1854,16083821488195132541,0,true
20,https://siliconbased.dev/csv-json,CSV to JSON Converter & JSON to CSV | Free Online Tool,text/html; charset=utf-8,false,200,"Convert CSV to JSON or JSON to CSV instantly. Auto-detects delimiters, handles quoted fields and newlines.",399,<truncated>,2438,3040905394341926286,0,true
20,https://siliconbased.dev/dns-lookup,"DNS Lookup Tool: Query A, AAAA, MX, CNAME, TXT & NS Records",text/html; charset=utf-8,false,200,Why do 30% of emails bounce on new domains? A quick MX record lookup reveals the hidden configuration gap holding back your deliverability.,653,<truncated>,4059,15716191483163273603,0,true
20,https://siliconbased.dev/url-encoder,URL Encoder & Decoder | Free Online Tool,text/html; charset=utf-8,false,200,"Encode or decode URLs and query strings instantly. Handles special characters, Unicode, and double-encoding. Batch mode for multiple URLs.",443,<truncated>,2743,862048823263735359,0,true
